Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998436527669944;9,88125744840162;0,273320565422489;0,278430341020265
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, NumeroSociedades_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;6,70519156361569;0,214768761292939;0,278626080416454
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, NumeroSociedades_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;6,62513800371413;0,220583813858543;0,280430900570903
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;6,70017698848835;0,216948605413473;0,281166859403054
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, ActivoHombres_arima, NumeroSociedades_arima, Capital_arima;3;-0,999000000000000;0,997886647358690;9,70787099915453;0,219705883101857;0,281311697157777
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;7,47929094516080;0,277217242918104;0,281845006879428
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;7,33987795409283;0,322432060109937;0,282239711639561
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;6,70063210869675;0,280633837774569;0,282694903718771
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;6,59300985314718;0,302513495351288;0,283204063441970
Total_arima, ConsumoEuros_arima, Electricidad_arima, Gas_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998367489856784;10,04465726151918;0,295500003313892;0,283243944874379
Total_arima, ConsumoEuros_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,998420435506618;9,98602861293587;0,326213051135418;0,285636843373701
Total_arima, ConsumoEuros_arima, Electricidad_arima, Carbón y derivados_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998500857216755;9,93205756504608;0,347017055877858;0,286467047894919
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;6,15326177722711;0,289082654358476;0,287455236229590
